"id_clima","uni_regis","data","temperatura","umidade"
"135","unidade_01","2023-03-07 21:25:19","26.3","54"
"136","unidade_01","2023-03-07 21:27:20","26.1","55"
"137","unidade_01","2023-03-07 21:29:22","26","55"
"138","unidade_01","2023-03-07 21:30:32","25.9","55"
"139","unidade_01","2023-03-07 21:32:37","25.7","56"
"140","unidade_01","2023-03-07 21:34:43","25.6","56"
"141","unidade_01","2023-03-07 21:36:49","25.5","56"
"142","unidade_01","2023-03-07 21:38:55","25.6","56"
"143","unidade_01","2023-03-07 21:41:01","25.6","57"
"144","unidade_01","2023-03-07 21:43:07","25.5","57"
"145","unidade_01","2023-03-07 21:45:13","25.5","57"
"146","unidade_01","2023-03-07 21:47:42","25.4","57"
"147","unidade_01","2023-03-07 21:49:48","25.4","57"
"148","unidade_01","2023-03-07 21:54:00","25.4","56"
"149","unidade_01","2023-03-07 21:58:08","25.2","56"
"150","unidade_01","2023-03-07 22:04:21","25.2","56"
"151","unidade_01","2023-03-07 22:06:27","25.2","55"
"152","unidade_01","2023-03-07 22:08:33","25.2","55"
"153","unidade_01","2023-03-07 22:12:45","25","55"
"154","unidade_01","2023-03-07 22:14:50","25","55"
"155","unidade_01","2023-03-07 22:16:56","24.9","54"
"156","unidade_01","2023-03-07 22:19:02","25","54"
"157","unidade_01","2023-03-07 22:21:09","24.9","54"
"158","unidade_01","2023-03-07 22:23:15","24.9","54"
"159","unidade_01","2023-03-07 22:24:36","24.9","53"
"160","unidade_01","2023-03-07 22:29:42","24.9","54"
"161","unidade_01","2023-03-07 22:31:26","24.9","55"
"162","unidade_01","2023-03-07 22:36:31","25.5","52"
"163","unidade_01","2023-03-07 22:41:37","25.6","52"
"164","unidade_01","2023-03-07 22:46:43","25.7","53"
"165","unidade_01","2023-03-07 22:51:50","25.7","53"
"166","unidade_01","2023-03-07 22:56:55","25.7","53"
"167","unidade_01","2023-03-07 23:02:01","25.7","53"
"168","unidade_01","2023-03-07 23:07:07","25.7","53"
"169","unidade_01","2023-03-07 23:12:13","25.7","53"
"170","unidade_01","2023-03-07 23:17:20","25.6","53"
"171","unidade_01","2023-03-07 23:22:25","25.6","53"
"172","unidade_01","2023-03-07 23:27:31","25.6","53"
"173","unidade_01","2023-03-07 23:32:37","25.6","53"
"174","unidade_01","2023-03-07 23:42:49","25.4","54"
"175","unidade_01","2023-03-07 23:47:55","25.3","54"
"176","unidade_01","2023-03-07 23:58:07","25.3","56"
"177","unidade_01","2023-03-08 00:03:13","25.2","57"
"178","unidade_01","2023-03-08 00:08:20","25.2","58"
"179","unidade_01","2023-03-08 00:13:26","25.2","58"
"180","unidade_01","2023-03-08 00:18:31","25.1","59"
"181","unidade_01","2023-03-08 00:23:37","25","59"
"182","unidade_01","2023-03-08 00:28:43","25","59"
"183","unidade_01","2023-03-08 00:33:49","25","60"
"184","unidade_01","2023-03-08 00:38:55","24.8","61"
"185","unidade_01","2023-03-08 00:44:01","24.7","61"
"186","unidade_01","2023-03-08 00:49:07","24.7","62"
"187","unidade_01","2023-03-08 00:54:13","24.6","62"
"188","unidade_01","2023-03-08 00:59:19","24.5","62"
"189","unidade_01","2023-03-08 01:04:26","24.3","63"
"190","unidade_01","2023-03-08 01:09:32","24.4","63"
"191","unidade_01","2023-03-08 01:14:37","24.4","63"
"192","unidade_01","2023-03-08 01:19:43","24.3","64"
"193","unidade_01","2023-03-08 01:24:50","24.3","64"
"194","unidade_01","2023-03-08 01:29:56","24.2","64"
"195","unidade_01","2023-03-08 01:35:01","24.2","65"
"196","unidade_01","2023-03-08 01:40:08","24.2","65"
"197","unidade_01","2023-03-08 01:45:13","24.1","65"
"198","unidade_01","2023-03-08 01:50:19","23.9","66"
"199","unidade_01","2023-03-08 01:55:26","24","66"
"200","unidade_01","2023-03-08 02:00:31","23.9","66"
"201","unidade_01","2023-03-08 02:05:38","23.9","66"
"202","unidade_01","2023-03-08 02:10:44","23.7","67"
"203","unidade_01","2023-03-08 02:15:50","23.7","67"
"204","unidade_01","2023-03-08 02:20:56","23.7","68"
"205","unidade_01","2023-03-08 02:26:02","23.6","68"
"206","unidade_01","2023-03-08 02:31:08","23.6","68"
"207","unidade_01","2023-03-08 02:36:14","23.6","68"
"208","unidade_01","2023-03-08 02:41:20","23.4","69"
"209","unidade_01","2023-03-08 02:46:26","23.4","69"
"210","unidade_01","2023-03-08 02:51:32","23.4","69"
"211","unidade_01","2023-03-08 02:56:38","23.5","69"
"212","unidade_01","2023-03-08 03:01:44","23.4","69"
"213","unidade_01","2023-03-08 03:06:50","23.4","68"
"214","unidade_01","2023-03-08 03:11:56","23.3","69"
"215","unidade_01","2023-03-08 03:17:02","23.3","69"
"216","unidade_01","2023-03-08 03:27:14","23.2","69"
"217","unidade_01","2023-03-08 03:32:20","23.1","69"
"218","unidade_01","2023-03-08 03:42:32","23","68"
"219","unidade_01","2023-03-08 03:47:38","23","68"
"220","unidade_01","2023-03-08 03:52:44","23","68"
"221","unidade_01","2023-03-08 03:57:50","22.9","68"
"222","unidade_01","2023-03-08 04:02:56","22.9","68"
"223","unidade_01","2023-03-08 04:08:02","23","68"
"224","unidade_01","2023-03-08 04:13:08","22.9","68"
"225","unidade_01","2023-03-08 04:18:14","22.8","68"
"226","unidade_01","2023-03-08 04:23:20","22.9","68"
"227","unidade_01","2023-03-08 04:28:26","22.8","68"
"228","unidade_01","2023-03-08 04:33:32","22.9","69"
"229","unidade_01","2023-03-08 04:38:37","22.8","69"
"230","unidade_01","2023-03-08 04:48:50","22.8","69"
"231","unidade_01","2023-03-08 04:53:56","22.8","69"
"232","unidade_01","2023-03-08 04:59:02","22.7","69"
"233","unidade_01","2023-03-08 05:09:14","22.7","69"
"234","unidade_01","2023-03-08 05:24:32","22.6","69"
"235","unidade_01","2023-03-08 05:29:38","22.6","69"
"236","unidade_01","2023-03-08 05:34:44","22.6","69"
"237","unidade_01","2023-03-08 05:39:50","22.6","70"
"238","unidade_01","2023-03-08 05:44:56","22.5","70"
"239","unidade_01","2023-03-08 05:50:02","22.5","70"
"240","unidade_01","2023-03-08 06:00:09","22.5","71"
"241","unidade_01","2023-03-08 06:10:16","22.4","71"
"242","unidade_01","2023-03-08 06:15:22","22.4","71"
"243","unidade_01","2023-03-08 06:20:27","22.4","71"
"244","unidade_01","2023-03-08 06:25:34","22.4","71"
"245","unidade_01","2023-03-08 06:30:40","22.3","71"
"246","unidade_01","2023-03-08 06:35:46","22.5","71"
"247","unidade_01","2023-03-08 06:40:52","22.5","72"
"248","unidade_01","2023-03-08 06:54:18","22.5","71"
"249","unidade_01","2023-03-08 06:59:24","22.8","71"
"250","unidade_01","2023-03-08 07:09:31","23","70"
"251","unidade_01","2023-03-08 07:14:37","23.1","69"
"252","unidade_01","2023-03-08 07:19:43","23.3","68"
"253","unidade_01","2023-03-08 07:29:50","23.2","68"
"254","unidade_01","2023-03-08 07:40:02","23.3","67"
"255","unidade_01","2023-03-08 08:00:26","23.9","66"
"256","unidade_01","2023-03-08 08:05:32","24.2","67"
"257","unidade_01","2023-03-08 08:10:38","24.2","66"
"258","unidade_01","2023-03-08 08:20:45","24.4","65"
"259","unidade_01","2023-03-08 08:30:52","24.6","64"
"260","unidade_01","2023-03-08 08:35:58","24.8","63"
"261","unidade_01","2023-03-08 08:41:04","25","63"
"262","unidade_01","2023-03-08 08:46:10","25.2","64"
"263","unidade_01","2023-03-08 09:01:28","25.3","64"
"264","unidade_01","2023-03-08 09:11:40","25.6","62"
"265","unidade_01","2023-03-08 09:21:52","25.8","62"
"266","unidade_01","2023-03-08 09:26:58","26","61"
"267","unidade_01","2023-03-08 09:32:04","26.2","61"
"268","unidade_01","2023-03-08 09:37:10","26.2","61"
"269","unidade_01","2023-03-08 09:42:16","26.3","61"
"270","unidade_01","2023-03-08 09:47:22","26.3","61"
"271","unidade_01","2023-03-08 10:02:40","26.6","61"
"272","unidade_01","2023-03-08 10:07:46","26.7","60"
"273","unidade_01","2023-03-08 10:12:52","26.9","60"
"274","unidade_01","2023-03-08 10:28:10","27.1","60"
"275","unidade_01","2023-03-08 10:43:28","27.6","58"
"276","unidade_01","2023-03-08 10:48:34","27.7","58"
"277","unidade_01","2023-03-08 10:58:46","28.1","57"
"278","unidade_01","2023-03-08 11:03:52","28.2","55"
"279","unidade_01","2023-03-08 11:24:11","28.7","54"
"280","unidade_01","2023-03-08 11:29:17","28.8","53"
"281","unidade_01","2023-03-08 11:39:29","29.2","52"
"282","unidade_01","2023-03-08 11:44:35","29.4","52"
"283","unidade_01","2023-03-08 11:49:41","29.4","52"
"284","unidade_01","2023-03-08 11:54:47","29.4","52"
"285","unidade_01","2023-03-08 11:59:53","29.4","52"
"286","unidade_01","2023-03-08 12:04:59","29.6","52"
"287","unidade_01","2023-03-08 12:10:05","29.6","50"
"288","unidade_01","2023-03-08 12:15:11","29.7","51"
"289","unidade_01","2023-03-08 12:20:17","29.6","51"
"290","unidade_01","2023-03-08 12:35:35","30","51"
"291","unidade_01","2023-03-08 12:45:47","30.1","51"
"292","unidade_01","2023-03-08 12:55:59","30.2","51"
"293","unidade_01","2023-03-08 13:01:05","30.2","51"
"294","unidade_01","2023-03-08 13:16:23","30.4","50"
"295","unidade_01","2023-03-08 13:26:35","30.8","48"
"296","unidade_01","2023-03-08 13:36:47","31.1","48"
"297","unidade_01","2023-03-08 13:52:00","31.4","48"
"298","unidade_01","2023-03-08 14:02:12","31.6","46"
"299","unidade_01","2023-03-08 14:07:18","31.7","45"
"300","unidade_01","2023-03-08 14:12:24","31.9","45"
"301","unidade_01","2023-03-08 14:17:30","32.2","45"
"302","unidade_01","2023-03-08 14:22:36","32.2","43"
"303","unidade_01","2023-03-08 14:27:42","32.2","44"
"304","unidade_01","2023-03-08 14:32:48","32.3","44"
"305","unidade_01","2023-03-08 14:42:55","32.5","43"
"306","unidade_01","2023-03-08 14:48:01","32.5","42"
"307","unidade_01","2023-03-08 14:53:07","32.5","43"
"308","unidade_01","2023-03-08 14:58:13","32.6","42"
"309","unidade_01","2023-03-08 15:03:19","32.7","42"
"310","unidade_01","2023-03-08 15:08:25","32.8","41"
"311","unidade_01","2023-03-08 15:13:31","32.8","41"
"312","unidade_01","2023-03-08 15:18:37","32.8","41"
"313","unidade_01","2023-03-08 15:23:43","32.8","42"
"314","unidade_01","2023-03-08 15:28:49","32.8","41"
"315","unidade_01","2023-03-08 15:33:55","32.8","41"
"316","unidade_01","2023-03-08 15:44:07","32.9","42"
"317","unidade_01","2023-03-08 15:49:13","32.7","42"
"318","unidade_01","2023-03-08 15:54:19","32.5","43"
"319","unidade_01","2023-03-08 15:59:25","32.6","42"
"320","unidade_01","2023-03-08 16:04:31","32.6","42"
"321","unidade_01","2023-03-08 16:09:37","32.7","42"
"322","unidade_01","2023-03-08 16:19:44","32.5","42"
"323","unidade_01","2023-03-08 16:24:50","32.5","41"
"324","unidade_01","2023-03-08 16:29:56","32.5","41"
"325","unidade_01","2023-03-08 16:35:02","32.5","41"
"326","unidade_01","2023-03-08 16:40:08","32.5","41"
"327","unidade_01","2023-03-08 16:45:14","32.5","41"
"328","unidade_01","2023-03-08 16:50:20","32.4","41"
"329","unidade_01","2023-03-08 16:55:26","32.4","42"
"330","unidade_01","2023-03-08 17:00:32","32.3","42"
"331","unidade_01","2023-03-08 17:05:38","32.1","41"
"332","unidade_01","2023-03-08 17:10:44","32.2","41"
"333","unidade_01","2023-03-08 17:20:56","32","41"
"334","unidade_01","2023-03-08 17:26:02","31.9","41"
"335","unidade_01","2023-03-08 17:31:08","31.9","41"
"336","unidade_01","2023-03-08 17:36:14","31.9","41"
"337","unidade_01","2023-03-08 17:41:20","31.8","41"
"338","unidade_01","2023-03-08 17:51:27","31.6","42"
"339","unidade_01","2023-03-08 17:56:33","31.5","42"
"340","unidade_01","2023-03-08 18:01:39","31.4","42"
"341","unidade_01","2023-03-08 18:11:48","31.3","46"
"342","unidade_01","2023-03-08 18:16:54","30.9","50"
"343","unidade_01","2023-03-08 18:27:07","30.3","53"
"344","unidade_01","2023-03-08 18:32:12","30.2","53"
"345","unidade_01","2023-03-08 18:37:18","29.8","53"
"346","unidade_01","2023-03-08 18:42:24","29.5","54"
"347","unidade_01","2023-03-08 18:57:42","29.4","55"
"348","unidade_01","2023-03-08 19:02:48","29.5","54"
"349","unidade_01","2023-03-08 19:07:54","29.3","54"
"350","unidade_01","2023-03-08 19:13:00","29.1","55"
"351","unidade_01","2023-03-08 19:18:06","28.9","55"
"352","unidade_01","2023-03-08 19:23:12","28.8","56"
"353","unidade_01","2023-03-08 19:33:19","28.7","56"
"354","unidade_01","2023-03-08 19:38:25","28.6","56"
"355","unidade_01","2023-03-08 19:43:26","28.6","55"
"356","unidade_01","2023-03-08 19:48:32","28.6","56"
"357","unidade_01","2023-03-08 19:53:37","28.5","57"
"358","unidade_01","2023-03-08 19:58:44","28.4","57"
"359","unidade_01","2023-03-08 20:03:50","28.4","56"
"360","unidade_01","2023-03-08 20:14:02","28.3","55"
"361","unidade_01","2023-03-08 20:19:07","28.1","54"
"362","unidade_01","2023-03-08 20:24:14","28.1","54"
"363","unidade_01","2023-03-08 20:34:21","28","53"
"364","unidade_01","2023-03-08 20:39:28","28","53"
"365","unidade_01","2023-03-08 20:44:34","27.9","53"
"366","unidade_01","2023-03-08 20:49:40","27.8","54"
"367","unidade_01","2023-03-08 20:54:46","27.7","53"
"368","unidade_01","2023-03-08 21:04:52","27.7","54"
"369","unidade_01","2023-03-08 21:09:58","27.7","53"
"370","unidade_01","2023-03-08 21:20:10","27.4","54"
"371","unidade_01","2023-03-08 21:25:16","27.3","55"
"372","unidade_01","2023-03-08 21:30:22","27.3","55"
"373","unidade_01","2023-03-08 21:35:28","27.3","55"
"374","unidade_01","2023-03-08 21:45:40","27.1","56"
"375","unidade_01","2023-03-08 21:50:46","26.9","57"
"376","unidade_01","2023-03-08 21:55:52","27","57"
"377","unidade_01","2023-03-08 22:11:10","26.9","58"
"378","unidade_01","2023-03-08 22:16:16","26.9","58"
"379","unidade_01","2023-03-08 23:36:24","26.2","61"
"380","unidade_01","2023-03-08 23:41:28","26","61"
"381","unidade_01","2023-03-08 23:46:34","25.9","61"
"382","unidade_01","2023-03-08 23:51:40","26","61"
"383","unidade_01","2023-03-08 23:56:46","25.9","61"
"384","unidade_01","2023-03-09 00:01:52","25.8","61"
"385","unidade_01","2023-03-09 00:06:58","25.8","61"
"386","unidade_01","2023-03-09 00:12:04","25.7","61"
"387","unidade_01","2023-03-09 00:17:10","25.8","61"
"388","unidade_01","2023-03-09 00:22:16","25.6","61"
"389","unidade_01","2023-03-09 00:32:28","25.6","61"
"390","unidade_01","2023-03-09 00:37:34","25.5","61"
"391","unidade_01","2023-03-09 00:42:40","25.6","61"
"392","unidade_01","2023-03-09 01:03:04","25.4","60"
"393","unidade_01","2023-03-09 01:18:17","25.3","61"
"394","unidade_01","2023-03-09 01:23:23","25.2","61"
"395","unidade_01","2023-03-09 01:28:29","25.2","61"
"396","unidade_01","2023-03-09 01:38:41","25.2","61"
"397","unidade_01","2023-03-09 01:48:53","25.1","61"
"398","unidade_01","2023-03-09 01:53:59","25.2","61"
"399","unidade_01","2023-03-09 01:59:06","25.2","61"
"400","unidade_01","2023-03-09 02:04:11","25.2","61"
"401","unidade_01","2023-03-09 02:19:29","25.1","61"
"402","unidade_01","2023-03-09 02:24:35","25.1","61"
"403","unidade_01","2023-03-09 02:29:41","25","61"
"404","unidade_01","2023-03-09 02:34:47","25","61"
"405","unidade_01","2023-03-09 02:44:54","25","61"
"406","unidade_01","2023-03-09 02:55:06","24.9","62"
"407","unidade_01","2023-03-09 03:10:24","24.9","62"
"408","unidade_01","2023-03-09 03:15:30","24.8","62"
"409","unidade_01","2023-03-09 03:25:42","24.8","62"
"410","unidade_01","2023-03-09 03:30:48","24.7","62"
"411","unidade_01","2023-03-09 03:35:54","24.7","63"
"412","unidade_01","2023-03-09 03:41:00","24.7","63"
"413","unidade_01","2023-03-09 03:46:06","24.7","63"
